# Observation File: surface-outlet.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: surface-component_concentration
# Region: surface outlet
# Reduction: point
# Variable: surface-total_component_concentration
# Number of Vectors: 6
# =============================================================================
"time [s]" "surface-component_concentration DOM1" "surface-component_concentration O2(aq)" "surface-component_concentration NO3-" "surface-component_concentration HCO3-" "surface-component_concentration H+" "surface-component_concentration N2(aq)"
2.280000000000e+03 8.311790076574e-05 2.330275611059e-04 1.812378161773e-06 2.540772967047e-05 2.072459411280e-05 2.406349232653e-02
2.300000000000e+03 8.296124602211e-05 2.327514663227e-04 1.810931755314e-06 2.547791335034e-05 2.079850660802e-05 2.404431935286e-02
2.320000000000e+03 8.280465493925e-05 2.324752772754e-04 1.809483443073e-06 2.554791895245e-05 2.087224595502e-05 2.402512102850e-02
2.340000000000e+03 8.264811315718e-05 2.321989556711e-04 1.808032935683e-06 2.561774351130e-05 2.094580993593e-05 2.400589351177e-02
2.360000000000e+03 8.249160711523e-05 2.319224653534e-04 1.806579959936e-06 2.568738423016e-05 2.101919645994e-05 2.398663317557e-02
2.380000000000e+03 8.233512422659e-05 2.316457727612e-04 1.805124262237e-06 2.575683851306e-05 2.109240358636e-05 2.396733665315e-02
2.400000000000e+03 8.217865304741e-05 2.313688473751e-04 1.803665611946e-06 2.582610399590e-05 2.116542954708e-05 2.394800088252e-02
2.420000000000e+03 8.202218343866e-05 2.310916621437e-04 1.802203804577e-06 2.589517857624e-05 2.123827276813e-05 2.392862314892e-02
2.440000000000e+03 8.186570671856e-05 2.308141938851e-04 1.800738664814e-06 2.596406044129e-05 2.131093188987e-05 2.390920112483e-02
2.460000000000e+03 8.170921580364e-05 2.305364236591e-04 1.799270049300e-06 2.603274809389e-05 2.138340578573e-05 2.388973290703e-02
2.480000000000e+03 8.155270533705e-05 2.302583371046e-04 1.797797849169e-06 2.610124037589e-05 2.145569357908e-05 2.387021705021e-02
2.500000000000e+03 8.139617180245e-05 2.299799247398e-04 1.796321992299e-06 2.616953648886e-05 2.152779465814e-05 2.385065259685e-02
2.520000000000e+03 8.123961362234e-05 2.297011822204e-04 1.794842445244e-06 2.623763601175e-05 2.159970868860e-05 2.383103910289e-02
2.540000000000e+03 8.108303123999e-05 2.294221105554e-04 1.793359214849e-06 2.630553891540e-05 2.167143562399e-05 2.381137665918e-02
2.560000000000e+03 8.092642718419e-05 2.291427162761e-04 1.791872349515e-06 2.637324557364e-05 2.174297571348e-05 2.379166590827e-02
